,Season,Episode,EpisodeTitle,IMDBRating,TotalVotes,AirDate,Description,Viewership,GuestStars,Director,Writers,Number of Guest Stars
67,5,3,Baby Shower,8.0,3813,16 Oct 2008,"After planning an office baby shower for Jan, Michael is upset when he finds out that she had the baby without him--even though he's already been told that he's not the baby's father.",8.07,,Greg Daniels,Aaron Shure,1
68,5,4,Crime Aid,8.1,3667,23 Oct 2008,"Michael and Holly have sex for the first time, and Michael holds a fundraiser for the office after it is burglarized. Dwight confides in Phyllis after Andy and Angela set a wedding date, and Jim runs into Pam's ex-fianc̩, Roy.",7.74,,Jennifer Celotta,Charlie Grandy,1
69,5,5,Employee Transfer,8.0,3769,30 Oct 2008,Holly is transferred back to New Hampshire after corporate discovers that she and Michael are dating. Dwight tries to apply to Cornell to get under Andy's skin. Jim's brothers and Pam decide to play a trick on Jim when they meet for lunch.,9.32,,David Rogers,Anthony Q. Farrell,1
70,5,6,Customer Survey,8.5,3938,6 Nov 2008,"Dwight and Jim believe that something is suspicious about their low customer performance ratings. After consulting with Angela, Andy finds the perfect site for their wedding--Dwight's beet farm.",8.35,,Stephen Merchant,Lester Lewis,1
71,5,7,Business Trip,8.2,3670,13 Nov 2008,"David Wallace sends Michael on a business trip to Winnipeg to help him forget about Holly's transfer to Nashua, and Pam tells Jim that she failed a class and has to stay in New York City.",8.18,,Randall Einhorn,Brent Forrester,1
72,5,8,Frame Toby,8.6,4096,20 Nov 2008,"When Michael discovers that corporate has brought back Toby to replace Holly, he tries to frame him with drugs and to get him fired. Meanwhile, Pam has issues with the disgusting microwave. Finally, Jim surprises Pam by buying his parents' house.",8.4,,See full summary,Mindy Kaling,1
73,5,9,The Surplus,8.7,4063,4 Dec 2008,"Michael has to spend the office surplus by they end of the day, but he can't decide between a copier or new chairs. Dwight plays a dirty trick on Angela as they prepare for Andy and Angela's wedding on the beet farm.",8.33,,Paul Feig,Gene Stupnitsky | Lee Eisenberg,1
74,5,10,Moroccan Christmas,8.3,3802,11 Dec 2008,"Phyllis blackmails Angela into doing the work for the Christmas party, which Michael turns into an intervention after Meredith gets drunk and sets her hair on fire. Meanwhile, Dwight corners the market on a popular Christmas gift.",8.79,,Paul Feig,Justin Spitzer,1
75,5,11,The Duel,8.7,3966,15 Jan 2009,"Moments before he leaves for New York for a meeting with David Wallace, Michael tells Andy that Angela and Dwight are seeing each other. Andy and Dwight then decide to have it out in the parking lot.",8.5,,Dean Holland,Jennifer Celotta,1
76,5,12,Prince Family Paper,8.0,3823,22 Jan 2009,"Michael's conscience gets the best of him after he and Dwight go undercover to scout a family-run competitor. Back at the office, everyone else spends the day debating whether Hilary Swank is hot.",8.74,,Asaad Kelada,B. J. Novak,1
77,5,13,Stress Relief,9.7,12085,1 Feb 2009,"Dwight's too-realistic fire alarm gives Stanley a heart attack. When he returns, Michael learns that he is the cause of Stanley's stress. To remedy the situation, he forces the office to throw a roast for him.",22.91,"Cloris Leachman, Jack Black, Jessica Alba",Jeffrey Blitz,Paul Lieberstein,3
78,5,14,Lecture Circuit: Part 1,8.2,3644,5 Feb 2009,"While on lecture tour to other Dunder Mifflin branches, Michael and Pam discover that Jim's ex-girlfriend Karen is pregnant. At the office, Andy falls for a prospective client, and Jim and Dwight try to set up Kelly's birthday party.",8.39,,Ken Kwapis,Mindy Kaling,1
79,5,15,Lecture Circuit: Part 2,8.1,3602,12 Feb 2009,"Michael and Pam go to Nashua and discover that Holly has a new boyfriend. At the office, Jim and Dwight try to come up with a theme for Kelly's birthday party, and Angela gets a new cat.",8.89,,Ken Kwapis,Mindy Kaling,1
80,5,16,Blood Drive,8.0,3607,5 Mar 2009,"Michael holds a lonely hearts party on Valentine's Day at the office, hoping that he will run into a woman he met earlier that day at a blood drive. Meanwhile, Jim and Pam have an awkward lunch with Phillis and Bob Vance.",8.63,,Randall Einhorn,Brent Forrester,1
81,5,17,Golden Ticket,8.7,3928,12 Mar 2009,"Michael asks Dwight to be the scapegoat for one of his business ideas that backfired badly on him. But when that idea has an unexpected positive upside, Dwight still takes credit and Michael becomes furious.",7.51,,Randall Einhorn,Mindy Kaling,1
82,5,18,New Boss,8.3,3671,19 Mar 2009,"Michael gets upset when he gets a new boss to act as a buffer between him and David Wallace, and he gets even more upset when he disbands the Party Planning Committee and cancels Michael's fifteenth anniversary party.",7.95,Idris Elba,Paul Feig,Lee Eisenberg | Gene Stupnitsky,1
83,5,19,Two Weeks,8.4,3653,26 Mar 2009,"As Michael prepares to leave Dunder Mifflin, he announces that he will form his own paper company. Will anybody join him?",8.45,,Paul Lieberstein,Aaron Shure,1
